,value,Date
0,45.4,2000-01-01
1,46.52,2000-02-01
2,49.11,2000-03-01
3,47.99,2000-04-01
4,50.15,2000-05-01
5,46.35,2000-06-01
6,48.85,2000-07-01
7,48.85,2000-08-01
8,48.25,2000-09-01
9,49.37,2000-10-01
10,49.72,2000-11-01
11,67.7,2000-12-01
12,45.65,2001-01-01
13,43.41,2001-02-01
14,49.11,2001-03-01
15,46.87,2001-04-01
16,47.64,2001-05-01
17,45.74,2001-06-01
18,46.09,2001-07-01
19,47.64,2001-08-01
20,46.52,2001-09-01
21,49.72,2001-10-01
22,48.59,2001-11-01
23,66.06,2001-12-01
24,44.36,2002-01-01
25,42.37,2002-02-01
26,49.2,2002-03-01
27,45.65,2002-04-01
28,48.25,2002-05-01
29,45.22,2002-06-01
30,46.43,2002-07-01
31,48.42,2002-08-01
32,45.22,2002-09-01
33,49.46,2002-10-01
34,47.99,2002-11-01
35,62.0,2002-12-01
36,42.8,2003-01-01
37,41.59,2003-02-01
38,43.84,2003-03-01
39,44.01,2003-04-01
40,45.65,2003-05-01
41,42.63,2003-06-01
42,44.36,2003-07-01
43,46.09,2003-08-01
44,43.93,2003-09-01
45,47.64,2003-10-01
46,47.9,2003-11-01
47,63.21,2003-12-01
48,45.4,2004-01-01
49,44.36,2004-02-01
50,47.73,2004-03-01
51,48.16,2004-04-01
52,50.41,2004-05-01
53,48.08,2004-06-01
54,49.89,2004-07-01
55,48.68,2004-08-01
56,48.08,2004-09-01
57,51.19,2004-10-01
58,50.58,2004-11-01
59,70.3,2004-12-01
60,47.73,2005-01-01
61,43.32,2005-02-01
62,49.72,2005-03-01
63,48.42,2005-04-01
64,50.5,2005-05-01
65,48.94,2005-06-01
66,51.19,2005-07-01
67,51.1,2005-08-01
68,48.77,2005-09-01
69,52.23,2005-10-01
70,51.88,2005-11-01
71,72.89,2005-12-01
72,51.28,2006-01-01
73,46.26,2006-02-01
74,51.19,2006-03-01
75,52.14,2006-04-01
76,53.09,2006-05-01
77,50.76,2006-06-01
78,52.14,2006-07-01
79,53.61,2006-08-01
80,53.52,2006-09-01
81,55.6,2006-10-01
82,55.94,2006-11-01
83,76.7,2006-12-01
84,54.13,2007-01-01
85,50.84,2007-02-01
86,58.37,2007-03-01
87,57.76,2007-04-01
88,60.79,2007-05-01
89,58.37,2007-06-01
90,58.63,2007-07-01
91,60.87,2007-08-01
92,60.27,2007-09-01
93,62.17,2007-10-01
94,64.59,2007-11-01
95,87.33,2007-12-01
96,62.17,2008-01-01
97,59.32,2008-02-01
98,67.7,2008-03-01
99,63.81,2008-04-01
100,70.38,2008-05-01
101,65.54,2008-06-01
102,66.41,2008-07-01
103,69.52,2008-08-01
104,67.7,2008-09-01
105,70.9,2008-10-01
106,69.69,2008-11-01
107,92.78,2008-12-01
108,67.62,2009-01-01
109,62.95,2009-02-01
110,68.83,2009-03-01
111,70.21,2009-04-01
112,73.24,2009-05-01
113,70.3,2009-06-01
114,71.68,2009-07-01
115,73.76,2009-08-01
116,72.03,2009-09-01
117,77.73,2009-10-01
118,76.78,2009-11-01
119,100.48,2009-12-01
120,75.57,2010-01-01
121,70.56,2010-02-01
122,79.98,2010-03-01
123,76.96,2010-04-01
124,80.67,2010-05-01
125,78.51,2010-06-01
126,79.46,2010-07-01
127,81.02,2010-08-01
128,79.72,2010-09-01
129,83.61,2010-10-01
130,83.1,2010-11-01
131,110.68,2010-12-01
132,80.76,2011-01-01
133,74.62,2011-02-01
134,83.27,2011-03-01
135,83.35,2011-04-01
136,85.08,2011-05-01
137,83.61,2011-06-01
138,84.82,2011-07-01
139,84.65,2011-08-01
140,83.7,2011-09-01
141,87.59,2011-10-01
142,88.28,2011-11-01
143,117.77,2011-12-01
144,88.02,2012-01-01
145,83.87,2012-02-01
146,93.73,2012-03-01
147,88.98,2012-04-01
148,93.21,2012-05-01
149,90.53,2012-06-01
150,92.17,2012-07-01
151,95.03,2012-08-01
152,92.26,2012-09-01
153,95.81,2012-10-01
154,97.54,2012-11-01
155,126.59,2012-12-01
156,92.87,2013-01-01
157,83.96,2013-02-01
158,98.31,2013-03-01
159,89.23,2013-04-01
160,96.67,2013-05-01
161,92.61,2013-06-01
162,97.45,2013-07-01
163,101.69,2013-08-01
164,96.58,2013-09-01
165,101.95,2013-10-01
166,103.59,2013-11-01
167,130.91,2013-12-01
168,98.92,2014-01-01
169,91.22,2014-02-01
170,97.8,2014-03-01
171,95.98,2014-04-01
172,99.87,2014-05-01
173,92.61,2014-06-01
174,95.29,2014-07-01
175,99.09,2014-08-01
176,94.16,2014-09-01
177,100.91,2014-10-01
178,104.11,2014-11-01
179,130.05,2014-12-01
180,99.87,2015-01-01
181,89.23,2015-02-01
182,97.36,2015-03-01
183,92.95,2015-04-01
184,96.5,2015-05-01
185,89.84,2015-06-01
186,91.66,2015-07-01
187,92.52,2015-08-01
188,90.19,2015-09-01
189,97.54,2015-10-01
190,97.8,2015-11-01
191,122.09,2015-12-01
192,89.49,2016-01-01
193,86.12,2016-02-01
194,92.78,2016-03-01
195,88.54,2016-04-01
196,89.84,2016-05-01
197,88.02,2016-06-01
198,89.41,2016-07-01
199,89.84,2016-08-01
200,85.6,2016-09-01
201,91.31,2016-10-01
202,94.42,2016-11-01
203,116.99,2016-12-01
204,89.96,2017-01-01
205,83.44,2017-02-01
206,84.64,2017-03-01
207,90.08,2017-04-01
208,91.54,2017-05-01
209,90.71,2017-06-01
210,92.52,2017-07-01
211,91.42,2017-08-01
212,91.29,2017-09-01
213,93.12,2017-10-01
214,98.74,2017-11-01
215,123.37,2017-12-01
216,91.8,2018-01-01
217,82.65,2018-02-01
218,92.79,2018-03-01
219,89.98,2018-04-01
220,94.09,2018-05-01
221,91.38,2018-06-01
222,92.47,2018-07-01
223,96.22,2018-08-01
224,92.12,2018-09-01
225,93.34,2018-10-01
226,103.97,2018-11-01
227,125.16,2018-12-01
228,94.61,2019-01-01
229,86.7,2019-02-01
230,89.14,2019-03-01
231,91.78,2019-04-01
232,95.4,2019-05-01
233,93.2,2019-06-01
234,95.13,2019-07-01
235,99.02,2019-08-01
236,94.26,2019-09-01
237,98.93,2019-10-01
238,107.41,2019-11-01
239,128.5,2019-12-01
240,96.09,2020-01-01
241,91.39,2020-02-01
242,94.6,2020-03-01
243,77.0,2020-04-01
244,87.14,2020-05-01
245,92.68,2020-06-01
246,100.49,2020-07-01
247,102.06,2020-08-01
248,99.58,2020-09-01
249,105.98,2020-10-01
250,110.23,2020-11-01
251,129.92,2020-12-01
252,96.35,2021-01-01
253,89.82,2021-02-01
254,94.83,2021-03-01
255,94.51,2021-04-01
256,103.8,2021-05-01
257,99.8,2021-06-01
258,106.32,2021-07-01
259,100.18,2021-08-01
260,94.8,2021-09-01
261,99.77,2021-10-01
262,106.81,2021-11-01
263,126.7,2021-12-01
264,95.29,2022-01-01
265,89.65,2022-02-01
266,97.84,2022-03-01
267,98.7,2022-04-01
268,102.18,2022-05-01
269,98.19,2022-06-01
270,99.67,2022-07-01
271,99.03,2022-08-01
272,96.38,2022-09-01
273,100.34,2022-10-01
274,106.16,2022-11-01
275,125.92,2022-12-01
